Concept1_ID,Concept1_Name,Concept2_ID,Concept2_Name,AdamicAdarScore
C124148022,Quantum circuit,C133976006,Noise spectral density,0.33380820069533407
C124148022,Quantum circuit,C105295557,Categorical quantum mechanics,0
C124148022,Quantum circuit,C58140894,OR gate,0.36926937306885504
C124148022,Quantum circuit,C12252657,Effective input noise temperature,0.33380820069533407
C124148022,Quantum circuit,C45483111,Quantum no-deleting theorem,0
C124148022,Quantum circuit,C140058369,Quantum walk,0
C124148022,Quantum circuit,C158448853,Repressor,1.0368857744595232
C124148022,Quantum circuit,C59500034,Quantum Fourier transform,0.7030775737641891
C124148022,Quantum circuit,C142465778,Toffoli gate,0.36926937306885504
C124148022,Quantum circuit,C92043244,Quantum complexity theory,0
C124148022,Quantum circuit,C91331118,NP,0
C124148022,Quantum circuit,C56049555,EXPTIME,0
C124148022,Quantum circuit,C184049767,Coherent information,0.33380820069533407
C124148022,Quantum circuit,C55795843,Separable state,0
C124148022,Quantum circuit,C161166931,Quantum simulator,0
C124148022,Quantum circuit,C207764348,Two-element Boolean algebra,0
C124148022,Quantum circuit,C48415503,Time hierarchy theorem,0
C124148022,Quantum circuit,C60064506,Rigged Hilbert space,0
C124148022,Quantum circuit,C179153249,Consistent histories,0
C124148022,Quantum circuit,C172218469,Direct-coupled amplifier,0.33380820069533407
C124148022,Quantum circuit,C9429942,Product term,0
C124148022,Quantum circuit,C95013731,Quantum metrology,0.33380820069533407
C124148022,Quantum circuit,C71191651,Quantum nanoscience,0
C124148022,Quantum circuit,C192122513,Quantum phase estimation algorithm,0.33380820069533407
C124148022,Quantum circuit,C8524419,Optical parametric amplifier,0.33380820069533407
C124148022,Quantum circuit,C166576357,Y-factor,0.33380820069533407
C124148022,Quantum circuit,C207046469,Interpretations of quantum mechanics,0
C124148022,Quantum circuit,C146366752,Quantum critical point,0
C124148022,Quantum circuit,C155332784,Low-noise amplifier,0.33380820069533407
C124148022,Quantum circuit,C79369538,Minority interpretations of quantum mechanics,0
C124148022,Quantum circuit,C194269254,Squeezed coherent state,0.33380820069533407
C124148022,Quantum circuit,C150206757,Rapid single flux quantum,0
C124148022,Quantum circuit,C81518389,Complete Boolean algebra,0
C124148022,Quantum circuit,C109546105,Flux qubit,0
C124148022,Quantum circuit,C11255438,Quantum process,0
C124148022,Quantum circuit,C46752231,Josephson phase,0
C124148022,Quantum circuit,C165973109,Quantum probability,0
C124148022,Quantum circuit,C164215192,Asymptotic computational complexity,0
C124148022,Quantum circuit,C74939445,Cavity quantum electrodynamics,0
C124148022,Quantum circuit,C2985428132,Quantum memory,0.33380820069533407
C124148022,Quantum circuit,C11644886,Emitter-coupled logic,0.36926937306885504
C124148022,Quantum circuit,C2779094486,Quantum machine learning,0
C124148022,Quantum circuit,C206040425,Amplitude damping channel,0.33380820069533407
C124148022,Quantum circuit,C177414767,Supersymmetric quantum mechanics,0
C124148022,Quantum circuit,C186123792,SIC-POVM,0
C124148022,Quantum circuit,C199793620,Topological degeneracy,0
C124148022,Quantum circuit,C165485753,Coherence theory,0.33380820069533407
C124148022,Quantum circuit,C19271316,One-way quantum computer,0.7030775737641891
C124148022,Quantum circuit,C45018233,Quantum cosmology,0
C124148022,Quantum circuit,C86602344,T-norm fuzzy logics,0
C124148022,Quantum circuit,C162454741,Logic family,0.36926937306885504
C124148022,Quantum circuit,C15547884,DTIME,0
C124148022,Quantum circuit,C138797146,Relational quantum mechanics,0
C124148022,Quantum circuit,C182953411,Controlled NOT gate,0.36926937306885504
C124148022,Quantum circuit,C179957908,POVM,0
C124148022,Quantum circuit,C2781190263,Circuit quantum electrodynamics,0
C124148022,Quantum circuit,C145366948,Operational amplifier,0.33380820069533407
C124148022,Quantum circuit,C144271403,Probabilistic Turing machine,0
C124148022,Quantum circuit,C188159880,Free Boolean algebra,0
C124148022,Quantum circuit,C192353077,Adiabatic quantum computation,0
C124148022,Quantum circuit,C130126468,AND-OR-Invert,0.36926937306885504
C124148022,Quantum circuit,C119382340,Superconducting quantum computing,0
C124148022,Quantum circuit,C22984246,Quantum imaging,0.6676164013906681
C124148022,Quantum circuit,C169460222,Quantum logic,0
C124148022,Quantum circuit,C180349316,Pi Josephson junction,0
C124148022,Quantum circuit,C155194400,Spin Hall effect,0.33380820069533407
C124148022,Quantum circuit,C5084201,Generalized relative entropy,0
C124148022,Quantum circuit,C144760519,Substructural logic,0
C124148022,Quantum circuit,C158971709,Magnonics,0.33380820069533407
C124148022,Quantum circuit,C198521697,Pass transistor logic,0.36926937306885504
C124148022,Quantum circuit,C139356082,Quantum discord,0
C124148022,Quantum circuit,C10021369,Stone's representation theorem for Boolean algebras,0
C124148022,Quantum circuit,C2777796570,Dynamic logic (digital electronics),0
C124148022,Quantum circuit,C158456648,Cluster state,0
C124148022,Quantum circuit,C2778361524,Heisenberg limit,0.33380820069533407
C124148022,Quantum circuit,C24495805,Quantum relative entropy,0
C124148022,Quantum circuit,C92542899,Symmetry protected topological order,0
C124148022,Quantum circuit,C5320026,Quantum information science,0.33380820069533407
C124148022,Quantum circuit,C64775481,Quantum mutual information,0
C124148022,Quantum circuit,C200717178,Mathematical formulation of quantum mechanics,0
C124148022,Quantum circuit,C122806257,PH,0
C124148022,Quantum circuit,C150724011,Quantum point contact,0
C124148022,Quantum circuit,C190463098,Quantum technology,0.6676164013906681
C124148022,Quantum circuit,C206321295,Łukasiewicz logic,0
C124148022,Quantum circuit,C43682372,Quantum operation,0
C124148022,Quantum circuit,C20274610,Reversible computing,0
C124148022,Quantum circuit,C191608238,Decoherence-free subspaces,0
C124148022,Quantum circuit,C110039528,Zeroth-order logic,0
C124148022,Quantum circuit,C90408235,Quantum annealing,0
C124148022,Quantum circuit,C187486625,Quantum channel,0.33380820069533407
C124148022,Quantum circuit,C39197057,Magnetic flux quantum,0
C124148022,Quantum circuit,C89143813,Quantum sensor,0.6676164013906681
C124148022,Quantum circuit,C144791301,Second-order logic,0
C124148022,Quantum circuit,C168090291,Classical capacity,0.33380820069533407
C124148022,Quantum circuit,C3845977,Autoepistemic logic,0
C124148022,Quantum circuit,C21261745,Von Neumann's theorem,0
C124148022,Quantum circuit,C22994065,Quantum chemistry,0
C124148022,Quantum circuit,C131671149,Universal Turing machine,0
C124148022,Quantum circuit,C112806910,Noise figure,0.33380820069533407
C124148022,Quantum circuit,C131583701,Structural complexity theory,0
C124148022,Quantum circuit,C2778476455,Dynamical decoupling,0
C124148022,Quantum circuit,C199508470,Stochastic electrodynamics,0
C124148022,Quantum circuit,C14245642,Preamplifier,0
C124148022,Quantum circuit,C84883863,Toric code,0
C124148022,Quantum circuit,C111861475,Quantum amplifier,0.33380820069533407
C124148022,Quantum circuit,C56085360,Qutrit,0.36926937306885504
C124148022,Quantum circuit,C49995870,Supercurrent,0
C124148022,Quantum circuit,C103778262,Superconducting tunnel junction,0
C124148022,Quantum circuit,C60543599,Josephson energy,0
C124148022,Quantum circuit,C177715462,Superintegrable Hamiltonian system,0
C124148022,Quantum circuit,C71041172,Linear amplifier,0.33380820069533407
C124148022,Quantum circuit,C41241483,Quantum capacity,0.33380820069533407
C124148022,Quantum circuit,C17020691,Operator (biology),1.0368857744595232
C124148022,Quantum circuit,C68227491,No-go theorem,0
C124148022,Quantum circuit,C54999516,Superconducting magnetic energy storage,0
C124148022,Quantum circuit,C100376341,Jordan algebra,0
C124148022,Quantum circuit,C114092440,Normal modal logic,0
C105295557,Categorical quantum mechanics,C133976006,Noise spectral density,0
C105295557,Categorical quantum mechanics,C58140894,OR gate,0
C105295557,Categorical quantum mechanics,C12252657,Effective input noise temperature,0
C105295557,Categorical quantum mechanics,C45483111,Quantum no-deleting theorem,1.017920369592455
C105295557,Categorical quantum mechanics,C140058369,Quantum walk,0
C105295557,Categorical quantum mechanics,C158448853,Repressor,1.719774146390152
C105295557,Categorical quantum mechanics,C59500034,Quantum Fourier transform,0.318928988903801
C105295557,Categorical quantum mechanics,C142465778,Toffoli gate,0
C105295557,Categorical quantum mechanics,C92043244,Quantum complexity theory,0
C105295557,Categorical quantum mechanics,C91331118,NP,0
C105295557,Categorical quantum mechanics,C56049555,EXPTIME,0
C105295557,Categorical quantum mechanics,C55795843,Separable state,1.3213819264595872
C105295557,Categorical quantum mechanics,C161166931,Quantum simulator,0
C105295557,Categorical quantum mechanics,C48415503,Time hierarchy theorem,0
C105295557,Categorical quantum mechanics,C60064506,Rigged Hilbert space,1.3213819264595872
C105295557,Categorical quantum mechanics,C179153249,Consistent histories,1.8041742465423884
C105295557,Categorical quantum mechanics,C172218469,Direct-coupled amplifier,0
C105295557,Categorical quantum mechanics,C9429942,Product term,1.1623725156260678
C105295557,Categorical quantum mechanics,C95013731,Quantum metrology,0.3459762562611936
C105295557,Categorical quantum mechanics,C71191651,Quantum nanoscience,0.31066746727980593
C105295557,Categorical quantum mechanics,C192122513,Quantum phase estimation algorithm,0.318928988903801
C105295557,Categorical quantum mechanics,C8524419,Optical parametric amplifier,0
C105295557,Categorical quantum mechanics,C166576357,Y-factor,0
C105295557,Categorical quantum mechanics,C146366752,Quantum critical point,0
C105295557,Categorical quantum mechanics,C155332784,Low-noise amplifier,0
C105295557,Categorical quantum mechanics,C194269254,Squeezed coherent state,0
C105295557,Categorical quantum mechanics,C150206757,Rapid single flux quantum,0.2729584204093974
C105295557,Categorical quantum mechanics,C186468114,Quantum network,1.0612218855912423
C105295557,Categorical quantum mechanics,C109546105,Flux qubit,0
C105295557,Categorical quantum mechanics,C46752231,Josephson phase,0.2729584204093974
C105295557,Categorical quantum mechanics,C164215192,Asymptotic computational complexity,0
C105295557,Categorical quantum mechanics,C74939445,Cavity quantum electrodynamics,0
C105295557,Categorical quantum mechanics,C2985428132,Quantum memory,0
C105295557,Categorical quantum mechanics,C11644886,Emitter-coupled logic,0
C105295557,Categorical quantum mechanics,C2779094486,Quantum machine learning,0
C105295557,Categorical quantum mechanics,C206040425,Amplitude damping channel,0.3459762562611936
C105295557,Categorical quantum mechanics,C177414767,Supersymmetric quantum mechanics,2.2212066379666346
C105295557,Categorical quantum mechanics,C199793620,Topological degeneracy,0
C105295557,Categorical quantum mechanics,C165485753,Coherence theory,0.7152456293300486
C105295557,Categorical quantum mechanics,C19271316,One-way quantum computer,0
C105295557,Categorical quantum mechanics,C45018233,Quantum cosmology,0
C105295557,Categorical quantum mechanics,C86602344,T-norm fuzzy logics,0.2729584204093974
C105295557,Categorical quantum mechanics,C162454741,Logic family,0.2729584204093974
C105295557,Categorical quantum mechanics,C15547884,DTIME,0
C105295557,Categorical quantum mechanics,C182953411,Controlled NOT gate,0
C105295557,Categorical quantum mechanics,C2781190263,Circuit quantum electrodynamics,0
C105295557,Categorical quantum mechanics,C145366948,Operational amplifier,0
C105295557,Categorical quantum mechanics,C144271403,Probabilistic Turing machine,0
C105295557,Categorical quantum mechanics,C192353077,Adiabatic quantum computation,0
C105295557,Categorical quantum mechanics,C130126468,AND-OR-Invert,0
